Student Roll Num,Type,10-01-21,R-10-01-21,09-01-21,R-9-01-21,08-01-21,R-8-01-21,07-01-21,R-7-01-21,06-01-21,R-6-01-21,05-01-21,R-5-01-21,04-01-21,R-4-01-21,03-01-21,R-3-01-21,01-01-21,R-01-01-21
20,,Attended,10,Missed,9,Attended,5,Attended,10,Missed,6,Attended,8,Attended,6,Attended,8,,
21,STUDENT,Missed,5,Missed,7,Missed,5,Missed,10,Missed,7,Missed,6,Missed,7,Missed,10,,
22,STUDENT,Missed,9,Missed,5,Missed,7,Missed,5,Missed,10,Missed,6,Missed,8,Missed,9,,
23,WORKING,Missed,7,Missed,5,Missed,9,Missed,7,Missed,8,Missed,7,Missed,9,Missed,10,,
24,,Missed,8,Missed,9,Attended,6,Missed,10,Attended,7,Attended,5,Attended,7,Attended,8,,
25,,Attended,5,Attended,9,Attended,7,Attended,9,Attended,7,Attended,5,Attended,5,Attended,10,,
26,,Attended,7,Attended,8,Attended,8,Attended,5,Attended,9,Attended,6,Attended,7,Attended,7,,
27,,Attended,7,Attended,8,Attended,5,Attended,10,Attended,5,Attended,7,Attended,8,Attended,8,,
28,,Attended,7,Attended,7,Missed,7,Missed,5,Attended,9,Attended,7,Attended,10,Attended,10,,
29,WORKING,Attended,9,Attended,10,Attended,6,Missed,5,Missed,7,Attended,9,Missed,6,Attended,7,,
30,,Missed,8,Missed,10,Attended,6,Attended,10,Attended,8,Attended,9,Attended,5,Attended,6,,
31,,Attended,5,Attended,7,Attended,7,Attended,8,Attended,10,Attended,9,Attended,7,Attended,7,,
32,WORKING,Missed,6,Missed,5,Missed,7,Missed,10,Missed,6,Missed,8,Missed,7,Missed,5,,
33,,Attended,5,Attended,5,Missed,7,Attended,10,Attended,8,Attended,6,Attended,9,Attended,8,,
34,,Attended,7,Attended,6,Attended,8,Attended,9,Attended,6,Attended,10,Attended,10,Attended,10,,
35,DROPOUT,Missed,9,Missed,7,Missed,9,Missed,9,Missed,9,Missed,6,Missed,9,Missed,7,,
36,,Attended,9,Attended,6,Attended,10,Attended,5,Attended,7,Attended,9,Attended,10,Attended,9,,
37,,Attended,7,Attended,10,Attended,8,Attended,9,Attended,7,Attended,5,Attended,6,Attended,9,,
38,,Missed,7,Missed,9,Missed,5,Attended,8,Missed,6,Missed,6,Missed,8,Attended,9,,
39,STUDENT,Missed,8,Missed,7,Missed,8,Missed,6,Missed,7,Missed,7,Missed,10,Missed,7,,
40,WORKING,Missed,6,Attended,7,Missed,10,Attended,7,Attended,9,Attended,10,Attended,10,Attended,8,,
41,,Attended,8,Attended,8,Attended,5,Attended,10,Attended,5,Attended,5,Attended,9,Attended,7,,
42,,Attended,9,Attended,10,Missed,10,,6,,10,,8,,6,,8,,
43,,Missed,9,Missed,10,Missed,6,Missed,5,Missed,9,Missed,10,Missed,7,Missed,6,,
44,DROPOUT,Missed,5,Missed,8,Missed,5,Missed,6,Missed,8,Missed,6,Missed,9,Missed,5,,
45,,Attended,5,Attended,6,Attended,5,Attended,5,Attended,6,Attended,5,Attended,9,,10,,
46,,Attended,5,Attended,8,Attended,5,Attended,9,Attended,8,Attended,5,Attended,8,Attended,8,,
47,,Missed,6,Missed,6,Missed,10,Missed,10,Missed,8,Missed,5,Missed,6,Missed,6,,
48,WORKING,Missed,8,Missed,7,Missed,5,Missed,9,Missed,8,Missed,9,Missed,10,Missed,8,,
49,WORKING,Attended,7,Missed,8,Attended,10,Missed,10,Missed,8,Missed,5,Missed,9,Missed,8,,
50,,Attended,8,Attended,10,Attended,7,Attended,7,Attended,10,Attended,5,Attended,7,Attended,9,,
51,,Attended,9,Attended,8,Attended,10,Attended,9,Attended,8,Attended,9,Attended,7,Attended,7,,
52,WORKING,Missed,7,Missed,7,Missed,5,Missed,10,Missed,5,Missed,5,Missed,8,Missed,6,,
53,WORKING,Missed,5,Missed,9,Missed,7,Missed,7,Missed,5,Missed,9,Missed,6,Missed,10,,
54,,Attended,5,Attended,6,Attended,10,Attended,8,Attended,6,Attended,5,Attended,9,Attended,10,,
55,,Missed,8,Attended,6,Attended,10,Attended,9,Attended,9,Attended,5,Attended,5,Attended,7,,
56,STUDENT,Attended,5,Attended,5,Missed,7,Missed,6,Missed,5,Missed,10,Attended,5,Attended,7,,
57,WORKING,Missed,7,Attended,6,Attended,8,Attended,5,Missed,8,Missed,8,Attended,5,Missed,8,,
58,,Attended,6,Missed,7,Attended,6,Attended,9,Attended,9,Attended,7,Attended,7,Attended,6,,
59,,Attended,7,Attended,6,Attended,6,Missed,6,Attended,7,Attended,7,Attended,8,Attended,5,,
60,,Missed,6,Missed,7,Missed,10,Missed,9,Missed,10,Missed,8,Missed,7,Missed,6,,
61,,Attended,5,Attended,8,Attended,7,Attended,10,Attended,9,Attended,9,Attended,5,Attended,9,,
62,,Attended,7,Attended,6,Attended,6,Attended,6,Attended,9,Attended,10,Attended,6,Attended,8,,
63,WORKING,Missed,8,Attended,10,Missed,10,Missed,7,Attended,6,Attended,6,Attended,6,Attended,8,,
64,,Attended,10,Missed,5,Missed,10,Attended,9,Attended,10,Attended,8,Attended,7,Attended,9,,
65,,Attended,5,Missed,8,Attended,9,Attended,7,Attended,5,Attended,9,Attended,9,Attended,7,,
66,IGNORE,Missed,10,Missed,6,Missed,8,Missed,5,Missed,6,Missed,6,Missed,7,Missed,5,,
67,STUDENT,Missed,7,Missed,5,Missed,9,Missed,8,Missed,8,Missed,8,Missed,9,Missed,7,,
68,,Attended,10,Attended,6,Attended,6,Attended,7,Attended,9,Attended,9,Attended,8,Attended,9,,
69,,Attended,8,Attended,6,Attended,8,Attended,6,Attended,10,Attended,10,Attended,8,Attended,9,,
70,,Attended,9,Attended,8,Attended,6,Attended,9,Attended,10,Attended,5,Attended,9,Attended,7,,
